State,Year,Number With Current Asthma,Percent With Current Asthma
New Mexico,2018,157177.0,9.9
New York,2018,1578011.0,10.1
North Carolina,2018,757790.0,9.4
North Dakota,2018,46996.0,8.2
Ohio,2018,854186.0,9.4
Oklahoma,2018,307581.0,10.3
Oregon,2018,383340.0,11.6
Pennsylvania,2018,1012588.0,10.0
Rhode Island,2018,101251.0,11.9
South Carolina,2018,360353.0,9.1
South Dakota,2018,51652.0,7.9
Tennessee,2018,513084.0,9.8
Texas,2018,1572815.0,7.4
Utah,2018,206360.0,9.3
Vermont,2018,60216.0,12.0
Virginia,2018,563510.0,8.5
Washington,2018,558951.0,9.6
West Virginia,2018,175368.0,12.3
Wisconsin,2018,408318.0,9.0
Wyoming,2018,38099.0,8.7
Guam,2018,5272.0,5.0
Puerto Rico,2018,303623.0,11.1
Alabama,2017,409623.0,10.9
Alaska,2017,46863.0,8.4
Arizona,2017,529155.0,9.8
Arkansas,2017,219001.0,9.6
California,2017,2398304.0,7.9
Colorado,2017,404012.0,9.3
Connecticut,2017,299336.0,10.7
Delaware,2017,79827.0,10.6
District of Columbia,2017,52814.0,9.4
Florida,2017,1258262.0,7.5
Georgia,2017,663053.0,8.4
Hawaii,2017,109177.0,9.8
Idaho,2017,113842.0,9.0
Illinois,2017,808252.0,8.2
Indiana,2017,509205.0,10.0
Iowa,2017,223269.0,9.3
Kansas,2017,199738.0,9.1
Kentucky,2017,367763.0,10.7
Louisiana,2017,319238.0,9.0
Maine,2017,119995.0,11.2
Maryland,2017,440338.0,9.4
Massachusetts,2017,621312.0,11.5
Michigan,2017,837016.0,10.8
Minnesota,2017,310955.0,7.3
Mississippi,2017,187772.0,8.3
Missouri,2017,442086.0,9.4
Montana,2017,74843.0,9.1
Nebraska,2017,118181.0,8.2
Nevada,2017,240247.0,10.4
New Hampshire,2017,142205.0,13.2
New Jersey,2017,600483.0,8.6
New Mexico,2017,165265.0,10.5
New York,2017,1426161.0,9.2
North Carolina,2017,730767.0,9.2
North Dakota,2017,50524.0,8.6
Ohio,2017,888520.0,9.9
Oklahoma,2017,285215.0,9.6
Oregon,2017,353411.0,10.9
Pennsylvania,2017,1021687.0,10.1
Rhode Island,2017,103853.0,12.3
South Carolina,2017,361086.0,9.2
South Dakota,2017,48077.0,7.3
Tennessee,2017,517735.0,10.0
Texas,2017,1543064.0,7.3
Utah,2017,192523.0,8.9
Vermont,2017,59012.0,11.8
Virginia,2017,581200.0,8.9
Washington,2017,603962.0,10.5
West Virginia,2017,182240.0,12.7
Wisconsin,2017,428991.0,9.5
Wyoming,2017,40805.0,9.1
Guam,2017,7892.0,7.4
Puerto Rico,2017,334638.0,12.1
Alabama,2016,365041.0,9.7
Alaska,2016,48398.0,8.8
Arizona,2016,491794.0,9.4
Arkansas,2016,193863.0,8.5
California,2016,2366008.0,7.8
Colorado,2016,374598.0,8.8
Connecticut,2016,295601.0,10.5
Delaware,2016,63617.0,8.5
District of Columbia,2016,55365.0,9.9
Florida,2016,1109768.0,6.7
Georgia,2016,666285.0,8.5
Hawaii,2016,120293.0,10.7
Idaho,2016,115109.0,9.3
Illinois,2016,879704.0,8.9
Indiana,2016,514349.0,10.2
Iowa,2016,187872.0,7.8
Kansas,2016,193078.0,8.8
Kentucky,2016,394686.0,11.6
Louisiana,2016,297349.0,8.4
Maine,2016,130992.0,12.2
Maryland,2016,439666.0,9.4
Massachusetts,2016,560739.0,10.3
Michigan,2016,841111.0,10.9
Minnesota,2016,321439.0,7.6
Mississippi,2016,181044.0,8.0
Missouri,2016,463150.0,9.9
Montana,2016,69403.0,8.5
Nebraska,2016,118932.0,8.3
Nevada,2016,179986.0,7.9
New Hampshire,2016,121566.0,11.4
New Jersey,2016,573506.0,8.2
New Mexico,2016,185678.0,11.8
New York,2016,1474062.0,9.5
North Carolina,2016,630864.0,8.0
North Dakota,2016,53028.0,9.0
Ohio,2016,873284.0,9.7
Oklahoma,2016,293910.0,10.0
Oregon,2016,335445.0,10.5
Pennsylvania,2016,1070258.0,10.6
Rhode Island,2016,90375.0,10.7
South Carolina,2016,340518.0,8.8
South Dakota,2016,40253.0,6.2
Tennessee,2016,559423.0,10.9
Texas,2016,1584264.0,7.6
Utah,2016,175360.0,8.3
Vermont,2016,51211.0,10.2
Virginia,2016,560419.0,8.6
Washington,2016,538758.0,9.6
West Virginia,2016,171816.0,11.8
Wisconsin,2016,381108.0,8.5
Wyoming,2016,42717.0,9.5
Guam,2016,5486.0,5.1
Puerto Rico,2016,298918.0,10.7
Virgin Islands,2016,5011.0,6.3
Alabama,2015,370128.0,9.9
Alaska,2015,50792.0,9.2
Arizona,2015,479791.0,9.3
Arkansas,2015,226691.0,10.1
California,2015,2290491.0,7.7
Colorado,2015,375709.0,9.0
Connecticut,2015,294997.0,10.5
Delaware,2015,67950.0,9.2
District of Columbia,2015,57793.0,10.6
Florida,2015,1197036.0,7.4
Georgia,2015,708933.0,9.2
Hawaii,2015,111142.0,10.0
Idaho,2015,110735.0,9.1
Illinois,2015,828784.0,8.4
Indiana,2015,512557.0,10.2
Iowa,2015,181072.0,7.6
Kansas,2015,188514.0,8.7
Kentucky,2015,403499.0,11.9
Louisiana,2015,288759.0,8.2
Maine,2015,120034.0,11.2
Maryland,2015,408914.0,8.8
Massachusetts,2015,547096.0,10.2
Michigan,2015,781517.0,10.2
Minnesota,2015,310116.0,7.4
Mississippi,2015,175845.0,7.8
Missouri,2015,448562.0,9.6
Montana,2015,71210.0,8.9
Nebraska,2015,101854.0,7.2
Nevada,2015,179450.0,8.1
New Hampshire,2015,107224.0,10.1
New Jersey,2015,501572.0,7.2
New Mexico,2015,155818.0,9.9
New York,2015,1532508.0,9.9
North Carolina,2015,633683.0,8.2
North Dakota,2015,52567.0,9.0
Ohio,2015,896185.0,10.0
Oklahoma,2015,279781.0,9.5
Oregon,2015,351437.0,11.2
Pennsylvania,2015,1020306.0,10.2
Rhode Island,2015,91992.0,11.0
South Carolina,2015,309943.0,8.2
South Dakota,2015,54406.0,8.4
Tennessee,2015,455946.0,9.0
Texas,2015,1528177.0,7.6
Utah,2015,187377.0,9.0
Vermont,2015,55265.0,11.0
Virginia,2015,513676.0,7.9
Washington,2015,516400.0,9.4
West Virginia,2015,158528.0,10.8
Wisconsin,2015,426296.0,9.5
Wyoming,2015,35482.0,8.0
Guam,2015,6921.0,6.5
Puerto Rico,2015,285801.0,10.2
Alabama,2014,353847.0,9.5
Alaska,2014,44865.0,8.1
Arizona,2014,484115.0,9.6
Arkansas,2014,197478.0,8.8
California,2014,2279568.0,7.8
Colorado,2014,342994.0,8.4
Connecticut,2014,257311.0,9.2
Delaware,2014,63855.0,8.8
District of Columbia,2014,62346.0,11.5
Florida,2014,1268162.0,8.0
Georgia,2014,626931.0,8.3
Hawaii,2014,102093.0,9.2
Idaho,2014,103201.0,8.6
Illinois,2014,898521.0,9.1
Indiana,2014,532909.0,10.7
Iowa,2014,201266.0,8.5
Kansas,2014,189350.0,8.7
Kentucky,2014,402690.0,11.9
Louisiana,2014,270261.0,7.7
Maine,2014,122881.0,11.6
Maryland,2014,393571.0,8.5
Massachusetts,2014,636176.0,12.0
Michigan,2014,831656.0,10.9
Minnesota,2014,350818.0,8.4
Mississippi,2014,166117.0,7.4
Missouri,2014,450530.0,9.7
Montana,2014,76683.0,9.6
Nebraska,2014,108805.0,7.7
Nevada,2014,172343.0,8.1
New Hampshire,2014,107371.0,10.2
New Jersey,2014,570238.0,8.3
New Mexico,2014,154861.0,9.9
New York,2014,1642598.0,10.7
North Carolina,2014,592279.0,7.8
North Dakota,2014,50533.0,8.7
Ohio,2014,957711.0,10.8
Oklahoma,2014,284303.0,9.7
Oregon,2014,314501.0,10.2
Pennsylvania,2014,979527.0,9.8
Rhode Island,2014,89462.0,10.8
South Carolina,2014,309409.0,8.3
South Dakota,2014,48213.0,7.5
Tennessee,2014,448189.0,8.9
Texas,2014,1312573.0,6.7
Utah,2014,178514.0,8.7
Vermont,2014,56644.0,11.3
Virginia,2014,556765.0,8.6
Washington,2014,500993.0,9.3
West Virginia,2014,161534.0,11.0
Wisconsin,2014,456134.0,10.3
Wyoming,2014,37351.0,8.3
Guam,2014,5972.0,5.6
Puerto Rico,2014,298155.0,10.6
